Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Kids,SSTV-MSL1-0000000000000001082293,Samsung CE 2019 Muse-L UHD TV Smart TV,2019-06-29T11:13:54.101Z,2021-09-18T01:41:59.887Z,2019-07-04T18:17:42.550Z,2021-09-18T01:41:59.887Z,,,,,
Kids,LGTV20165=51001557066,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,2019-01-02T16:17:30.170Z,2021-07-08T01:10:28.230Z,2019-09-30T01:12:53.053Z,2021-07-08T01:10:28.230Z,2019-04-16T13:33:56.568Z,2021-01-02T13:38:26.373Z,2020-01-04T23:56:45.535Z,2021-01-02T13:38:26.373Z,
Kids,NFANDROID1-PRV-P-L3-SAMSUSM-G930F-4445-08AEA50426F99F33861D4E8664AADD8EF712E2C322C65B644094D986C77B87FA9,Android DefaultWidevineL3Phone Android Phone,2020-11-04T00:33:39.048Z,2021-08-20T17:25:48.858Z,2020-11-04T00:33:39.048Z,2021-08-20T17:25:48.858Z,2020-12-26T17:33:02.058Z,2020-12-26T17:47:15.117Z,2020-12-26T17:33:02.058Z,2020-12-26T17:47:15.117Z,
Rafael,SSTV-HKM1-0000000000000003491180,Samsung 2015 Hawk-M Smart TV,2020-09-05T17:58:07.576Z,2021-09-21T19:34:28.350Z,2020-09-05T17:58:07.576Z,2021-09-19T22:09:23.662Z,2020-12-26T17:30:20.649Z,2020-12-26T17:30:20.649Z,,,
MOISES,NFCDCH-02-GTY889W9T179T5CV9NXKKUANHJMX9K,Chrome PC (Cadmium),2020-11-01T20:57:45.069Z,2020-12-16T18:27:48.882Z,2020-11-01T20:59:13.577Z,2020-12-16T18:27:48.882Z,2020-11-01T20:57:45.069Z,2020-12-16T18:27:48.882Z,2020-11-01T20:59:13.577Z,2020-12-16T18:27:48.882Z,
Marcio,NFANDROID1-PRV-P-L3-SAMSUSM-G930F-4445-08AEA50426F99F33861D4E8664AADD8EF712E2C322C65B644094D986C77B87FA9,Android DefaultWidevineL3Phone Android Phone,2020-11-04T00:33:39.048Z,2021-08-20T17:25:48.858Z,2020-11-04T00:33:39.048Z,2021-08-20T17:25:48.858Z,2020-12-13T18:33:16.228Z,2020-12-13T18:52:14.860Z,2020-12-13T18:33:16.228Z,2020-12-13T18:52:14.860Z,
MOISES,NFANDROID1-PRV-P-L3-SAMSUSM-A505GT-4445-083FACB3992D987AF723BD64A327D96C3A3498AA0FCE3CD27A17D8129921D1AFB,Android DefaultWidevineL3Phone Android Phone,2019-12-02T20:10:36.433Z,2020-09-19T17:58:18.395Z,2019-12-02T20:10:36.433Z,2020-09-19T17:58:18.395Z,2019-12-02T20:10:36.433Z,2020-09-19T17:58:18.395Z,2019-12-02T20:10:36.433Z,2020-09-19T17:58:18.395Z,
Victor,NFANDROID1-PRV-P-L3-SAMSUSM-G930F-4445-024BD036380CDDC7896E185781402F32E26F31248FAD8CD1F2DDCBF9D7DE1164E,Android DefaultWidevineL3Phone Android Phone,2019-12-29T23:14:14.317Z,2020-09-14T22:36:48.658Z,2019-12-29T23:14:14.317Z,2020-09-14T22:36:48.658Z,2019-12-29T23:14:14.317Z,2020-09-14T22:36:48.658Z,2019-12-29T23:14:14.317Z,2020-09-14T22:36:48.658Z,
Marcio,NFANDROID1-PRV-P-L3-SAMSUSM-G930F-4445-024BD036380CDDC7896E185781402F32E26F31248FAD8CD1F2DDCBF9D7DE1164E,Android DefaultWidevineL3Phone Android Phone,2019-12-29T23:14:14.317Z,2020-09-14T22:36:48.658Z,2019-12-29T23:14:14.317Z,2020-09-14T22:36:48.658Z,2020-09-10T21:24:59.468Z,2020-09-10T21:24:59.468Z,2020-09-10T21:24:59.468Z,2020-09-10T21:24:59.468Z,
Rafael,LGTV20165=51001557066,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,2019-01-02T16:17:30.170Z,2021-07-08T01:10:28.230Z,2019-09-30T01:12:53.053Z,2021-07-08T01:10:28.230Z,2020-09-09T10:51:18.997Z,2020-09-09T10:51:18.997Z,,,
Kids,NFANDROID1-PRV-P-L3-SAMSUSM-G930F-4445-024BD036380CDDC7896E185781402F32E26F31248FAD8CD1F2DDCBF9D7DE1164E,Android DefaultWidevineL3Phone Android Phone,2019-12-29T23:14:14.317Z,2020-09-14T22:36:48.658Z,2019-12-29T23:14:14.317Z,2020-09-14T22:36:48.658Z,2020-09-04T01:53:44.735Z,2020-09-04T12:09:52.549Z,2020-09-04T01:53:44.735Z,2020-09-04T12:09:52.549Z,
MOISES,SSTV-MSL1-0000000000000001082293,Samsung CE 2019 Muse-L UHD TV Smart TV,2019-06-29T11:13:54.101Z,2021-09-18T01:41:59.887Z,2019-07-04T18:17:42.550Z,2021-09-18T01:41:59.887Z,2020-05-05T18:07:21.606Z,2020-05-08T00:15:08.029Z,2020-05-05T18:07:21.606Z,2020-05-07T02:06:06.787Z,
Victor,SSTV-MSL1-0000000000000001082293,Samsung CE 2019 Muse-L UHD TV Smart TV,2019-06-29T11:13:54.101Z,2021-09-18T01:41:59.887Z,2019-07-04T18:17:42.550Z,2021-09-18T01:41:59.887Z,2019-09-15T13:16:02.304Z,2020-04-03T19:27:24.170Z,2020-04-03T11:57:19.238Z,2020-04-03T19:27:24.170Z,
Victor,GOOGCAP0010000000000000003207792,Google Chromecast V5 Streaming Stick,2020-03-24T02:06:59.001Z,2020-03-24T02:26:22.269Z,2020-03-24T02:06:59.001Z,2020-03-24T02:26:22.269Z,2020-03-24T02:06:59.001Z,2020-03-24T02:26:22.269Z,2020-03-24T02:06:59.001Z,2020-03-24T02:26:22.269Z,
Kids,SSTV-X121-130218-0010284147-0965,Samsung 2013 MStar X12 Smart TV,2018-09-06T17:08:50.593Z,2021-09-14T23:06:59.323Z,2018-09-06T17:08:50.593Z,2021-09-14T23:06:59.323Z,2018-09-06T17:08:50.593Z,2020-03-20T16:10:54.767Z,2018-09-06T17:08:50.593Z,2020-03-20T16:10:54.767Z,
Victor,GOOGEAR0010000000000000002155112,Google Chromecast V3 Streaming Stick,2019-09-25T00:53:16.838Z,2020-03-03T00:14:10.733Z,2019-09-25T00:53:16.838Z,2020-03-03T00:14:10.733Z,2019-09-25T00:53:16.838Z,2020-03-03T00:14:10.733Z,2019-09-25T00:53:16.838Z,2020-03-03T00:14:10.733Z,
Marcio,NFCDCH-02-FRAYH7QJKTGU206VXAVC3XK2RW99FM,Chrome PC (Cadmium),2020-02-11T02:02:56.756Z,2020-02-11T02:02:56.756Z,2020-02-11T02:02:56.756Z,2020-02-11T02:02:56.756Z,2020-02-11T02:02:56.756Z,2020-02-11T02:02:56.756Z,2020-02-11T02:02:56.756Z,2020-02-11T02:02:56.756Z,
Rafael,KNKODM4K5000000000000000000000000000145011,MStar PureTurnkey50 Konka ODM4K Smart TV,2019-12-24T16:38:50.124Z,2020-02-07T21:02:00.164Z,2019-12-24T16:38:50.124Z,2020-02-02T18:45:11.412Z,2019-12-26T16:23:41.418Z,2020-02-07T21:02:00.164Z,2019-12-26T16:24:43.347Z,2020-02-02T18:45:11.412Z,
Kids,KNKODM4K5000000000000000000000000000145011,MStar PureTurnkey50 Konka ODM4K Smart TV,2019-12-24T16:38:50.124Z,2020-02-07T21:02:00.164Z,2019-12-24T16:38:50.124Z,2020-02-02T18:45:11.412Z,2020-01-22T12:44:28.965Z,2020-01-24T16:00:50.481Z,2020-01-22T12:44:28.965Z,2020-01-24T16:00:50.481Z,
Victor,NFANDROID1-PRV-P-L3-MOTORMOTOROLA=ONE=ACTION-8158-06D9CC3038723571B1A51EA181C7E78AB0FDC7294D582C5DDCE48E9443D998D06,Android DefaultWidevineL3Phone Android Phone,2020-01-16T00:27:02.236Z,2020-01-16T00:28:25.064Z,2020-01-16T00:27:02.236Z,2020-01-16T00:28:25.064Z,2020-01-16T00:27:02.236Z,2020-01-16T00:28:25.064Z,2020-01-16T00:27:02.236Z,2020-01-16T00:28:25.064Z,
