Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Rafael,BR,Smart TV,0,romana,Hot Girls Wanted,view_video_info,title_results,2020-01-06 06:15:09
Rafael,BR,Smart TV,0,romana,The Client List,play,video_info,2020-01-06 06:14:37
Rafael,BR,Smart TV,0,romana,The Client List,view_video_info,title_results,2020-01-06 06:14:35
Rafael,BR,Smart TV,0,romana,"Oh, Ramona!",play,video_info,2020-01-06 06:12:32
Rafael,BR,Smart TV,0,romana,"Oh, Ramona!",view_video_info,title_results,2020-01-06 06:12:29
Rafael,BR,Smart TV,0,pap,Dois Papas,play,video_info,2020-01-03 00:34:14
Rafael,BR,Smart TV,0,pap,Dois Papas,view_video_info,suggestion_title_results,2020-01-03 00:34:10
Rafael,BR,Smart TV,0,pap,Papa,view_suggestion_info,suggestion_results,2020-01-03 00:34:10
Rafael,BR,Smart TV,0,,The Witcher,play,video_info,2019-12-29 23:07:17
Rafael,BR,Smart TV,0,,The Witcher,view_video_info,popularSearches,2019-12-29 23:07:12
Rafael,BR,Smart TV,0,lesbica,Duck Butter,play,video_info,2019-12-26 00:23:11
Rafael,BR,Smart TV,0,lesbica,Duck Butter,view_video_info,title_results,2019-12-26 00:23:09
Rafael,BR,Smart TV,0,lesbica,Teenage Cocktail,play,video_info,2019-12-26 00:22:42
Rafael,BR,Smart TV,0,lesbica,Teenage Cocktail,view_video_info,title_results,2019-12-26 00:22:41
Rafael,BR,Smart TV,0,sexo,Sex Education,play,video_info,2019-12-26 00:21:55
Rafael,BR,Smart TV,0,sexo,Sex Education,view_video_info,title_results,2019-12-26 00:21:54
Rafael,BR,Smart TV,0,ra,Rambo III,view_suggestion_info,suggestion_results,2019-12-10 13:57:53
Rafael,BR,Smart TV,0,les,Filmes sobre lésbicas,view_suggestion_info,suggestion_results,2019-11-28 22:58:01
Rafael,BR,Smart TV,0,lesbica,The Perfection,play,video_info,2019-11-15 03:29:27
Rafael,BR,Smart TV,0,lesbica,The Perfection,view_video_info,suggestion_title_results,2019-11-15 03:29:24
Rafael,BR,Smart TV,0,lesbica,Filmes sobre lésbicas,view_suggestion_info,suggestion_results,2019-11-15 03:29:17
Rafael,BR,Smart TV,0,lesbica,LGBT - Lésbicas,view_suggestion_info,suggestion_results,2019-11-15 03:29:03
Rafael,BR,Smart TV,0,lesbica,Escola de Solteiras,play,video_info,2019-11-15 03:28:26
Rafael,BR,Smart TV,0,lesbica,Escola de Solteiras,view_video_info,title_results,2019-11-15 03:28:25
Rafael,BR,Smart TV,0,lesbica,Crônicas de San Francisco,play,video_info,2019-11-15 03:27:39
Rafael,BR,Smart TV,0,lesbica,Crônicas de San Francisco,view_video_info,title_results,2019-11-15 03:27:37
Rafael,BR,Smart TV,0,lesbica,Gostos e Cores,play,video_info,2019-11-15 03:27:28
Rafael,BR,Smart TV,0,lesbica,Gostos e Cores,view_video_info,title_results,2019-11-15 03:27:27
Rafael,BR,Smart TV,0,lesbica,Gostos e Cores,play,video_info,2019-11-15 03:27:24
Rafael,BR,Smart TV,0,lesbica,Gostos e Cores,view_video_info,title_results,2019-11-15 03:27:22
Rafael,BR,Smart TV,0,vd,xXx: Reativado,play,video_info,2019-11-15 02:37:19
Rafael,BR,Smart TV,0,vd,xXx: Reativado,view_video_info,title_results,2019-11-15 02:37:17
Rafael,BR,Smart TV,0,vd,Velozes e Furiosos 8,play,video_info,2019-11-15 00:26:38
Rafael,BR,Smart TV,0,vd,Velozes e Furiosos 8,view_video_info,title_results,2019-11-15 00:26:37
Rafael,BR,Smart TV,0,lesbica,Colega de Quarto,play,video_info,2019-11-03 02:26:37
Rafael,BR,Smart TV,0,lesbica,Colega de Quarto,view_video_info,title_results,2019-11-03 02:26:14
Rafael,BR,Smart TV,0,lesbica,Teenage Cocktail,view_video_info,suggestion_title_results,2019-10-19 00:37:45
Rafael,BR,Smart TV,0,lesbica,Teenage Cocktail,play,video_info,2019-10-19 00:37:45
Rafael,BR,Smart TV,0,lesbica,Ana e Vitória,view_video_info,suggestion_title_results,2019-10-19 00:29:47
Rafael,BR,Smart TV,0,lesbica,Ana e Vitória,play,video_info,2019-10-19 00:29:47
Rafael,BR,Smart TV,0,lesbica,LGBT - Lésbicas,view_suggestion_info,suggestion_results,2019-10-19 00:29:43
